source,Party,weight
906331746,Azione - Italia Viva,11
907687309,Azione - Italia Viva,21
90879931,Partito Democratico,5
912000926826815491,Azione - Italia Viva,8
913718930404990977,Fratelli d'Italia,22
919969911488860160,Azione - Italia Viva,14
920277002858499968,Forza Italia,15
926388315187810309,Azione - Italia Viva,64
927107869325103104,Partito Democratico,6
930194618,Azione - Italia Viva,121
931597488,Azione - Italia Viva,95
934168829047042048,Azione - Italia Viva,17
934498854,Partito Democratico,4
937966642184810496,Azione - Italia Viva,8
938688210888249344,Azione - Italia Viva,12
94765165,Azione - Italia Viva,8
951545291429249026,Azione - Italia Viva,94
954090832965062657,Azione - Italia Viva,27
956218128,Azione - Italia Viva,21
961261709229948928,Azione - Italia Viva,13
962692920171270144,Partito Democratico,6
964719079,Fratelli d'Italia,12
966302477162303488,Azione - Italia Viva,169
966592213,Azione - Italia Viva,189
967685017932632065,Movimento 5s,16
96963956,Partito Democratico,11
971004585233014784,Azione - Italia Viva,11
971075728438710274,Azione - Italia Viva,56
971143449469685760,Azione - Italia Viva,98
971323446507589632,Azione - Italia Viva,307
971365242847617024,Azione - Italia Viva,101
971444556502831105,Azione - Italia Viva,29
973190141228527617,Alleanza Verdi Sinistra,16
977184968693764098,Partito Democratico,16
982403090,Azione - Italia Viva,21
983253218,Movimento 5s,287
984333739407958016,Azione - Italia Viva,7
986292469682855938,Partito Democratico,9
986594967043956737,Lega,225
986714714,Azione - Italia Viva,6
989180703714807809,Azione - Italia Viva,9
989346433,Azione - Italia Viva,73
992686250,Partito Democratico,14
993804838705213441,Partito Democratico,64
996272602342674432,Forza Italia,25
997354591,Partito Democratico,168
997586305,Azione - Italia Viva,8
999358789219487744,Azione - Italia Viva,26
999578121123848192,Movimento 5s,38
