source,target,weight,p_value
1323186403614875648,2416067982,84,1.322344985370657e-11
1323186403614875648,454423746,22,8.603445141332642e-07
1323186403614875648,420351046,22,1.0485766104704568e-06
1323186403614875648,452343838,26,9.598268435293062e-06
1323186403614875648,404064077,16,1.3606804499587943e-05
1323186403614875648,1216857073,15,0.0008462155975237091
1323186403614875648,28382943,7,0.0032591383879726926
1323186403614875648,429391019,5,0.016853316869500482
1111697667946659840,52424550,355,1.1901830051217708e-43
1111697667946659840,2983707267,114,3.8573396630847553e-13
1111697667946659840,274093178,64,5.897032513319837e-13
1111697667946659840,274095255,30,1.2963465596781395e-08
1111697667946659840,289400495,125,1.4055177901123597e-08
1111697667946659840,156931889,31,3.8953290715983766e-08
1111697667946659840,910827588,12,0.00011085132563093036
1111697667946659840,999578121123848192,35,0.0002956890589749795
1111697667946659840,1450098021660831488,11,0.00037214587200358105
1111697667946659840,413231504,10,0.0008857663974083126
1111697667946659840,1061519784079171584,21,0.0013094816222157723
1111697667946659840,466378912,8,0.003053246838018004
1111697667946659840,320603385,10,0.003509591335117633
1111697667946659840,1234825597194579968,14,0.0035265920906758313
1111697667946659840,615597661,5,0.02773917939643955
1111697667946659840,1314728936,4,0.034500662988244765
1111697667946659840,2197620432,6,0.04883267513780303
52424550,841701064118284288,177,1.0928009408253253e-30
52424550,589286587,100,3.848066419478312e-22
52424550,320603385,81,1.3165308806500519e-21
52424550,1084450777748459520,120,4.789639096200032e-15
52424550,331223753,79,1.5183387357657202e-13
52424550,607981040,54,9.592649445857492e-13
52424550,1381495649657614336,68,1.14080185517207e-11
52424550,1103360481341902848,87,4.336856056676281e-11
52424550,332885533,55,1.5554724605145407e-10
52424550,1434123659967410176,41,7.181886813632506e-10
52424550,2411225194,60,7.183084685808528e-10
52424550,328473338,31,1.2759639025838773e-09
52424550,3307168918,38,2.8481654768114423e-09
52424550,1338489400511098880,42,5.820795516031285e-09
52424550,1101050610466590720,69,6.157112972625613e-09
52424550,752010888,47,6.7851971681858206e-09
52424550,1392080886,49,1.1266559297606125e-08
52424550,1019202374773112832,46,1.2372911027448421e-08
52424550,274095255,30,1.2963465596781395e-08
52424550,4243675906,32,1.873578859614025e-08
52424550,1187878899088269312,40,3.7974847026352103e-08
52424550,307278565,61,5.553120717681973e-08
52424550,3308375333,47,8.812717234576141e-08
52424550,4579400249,46,2.6863906531213095e-07
52424550,1243993407611121664,39,3.072154568250904e-07
52424550,767795023970697216,51,4.530461506826017e-07
52424550,1360587463820013568,22,5.366397093935874e-07
52424550,1037250097967517696,39,7.714322861365761e-07
52424550,2918309829,34,7.759822138964146e-07
52424550,1357352206777868288,27,8.713658701049119e-07
